date,limit_up,close,prev_settlement,open_interest,volume,limit_down,high,low,prev_close,open,total_turnover,settlement,dominant_id
2018-06-13,10007.0,9856.0,9285.0,416304.0,1225808.0,8563.0,9862.0,9400.0,9135.0,9407.0,115348532800.0,9673.0,AP1810
2018-06-14,10144.0,9874.0,9673.0,359872.0,916334.0,9202.0,9929.0,9719.0,9593.0,9863.0,87647347100.0,9828.0,AP1810
2018-06-15,10402.0,10204.0,9828.0,373180.0,893888.0,9254.0,10215.0,9747.0,9611.0,9938.0,86287008640.0,9916.0,AP1810
2018-06-19,10496.0,10275.0,9916.0,370792.0,1149180.0,9336.0,10469.0,10051.0,9941.0,10269.0,114722639400.0,10246.0,AP1810
2018-06-20,10845.0,9913.0,10246.0,340384.0,1321372.0,9647.0,10262.0,9865.0,10012.0,10262.0,129269822760.0,10046.0,AP1810
2018-06-21,10633.0,9459.0,10046.0,254218.0,1081690.0,9459.0,9923.0,9459.0,9650.0,9813.0,102219705000.0,9713.0,AP1810
2018-06-22,10280.0,9842.0,9713.0,237530.0,983372.0,9146.0,9863.0,9443.0,9196.0,9473.0,91787942480.0,9597.0,AP1810
2018-06-25,10158.0,9636.0,9597.0,227210.0,1072800.0,9036.0,9946.0,9558.0,9579.0,9892.0,101808720000.0,9753.0,AP1810
2018-06-26,10323.0,9603.0,9753.0,216756.0,901512.0,9183.0,9658.0,9366.0,9373.0,9588.0,83561147280.0,9532.0,AP1810
2018-06-27,10089.0,9558.0,9532.0,221446.0,565964.0,8975.0,9702.0,9475.0,9340.0,9613.0,52668609840.0,9569.0,AP1810
2018-06-28,10128.0,9746.0,9569.0,213122.0,704726.0,9010.0,9792.0,9585.0,9295.0,9593.0,66603654260.0,9714.0,AP1810
2018-06-29,10282.0,9947.0,9714.0,203136.0,561928.0,9146.0,9978.0,9643.0,9483.0,9743.0,53551738400.0,9793.0,AP1810
2018-07-02,10365.0,9660.0,9793.0,187532.0,540414.0,9221.0,9952.0,9626.0,9684.0,9893.0,51523070760.0,9797.0,AP1810
2018-07-03,10370.0,9806.0,9797.0,192960.0,505994.0,9224.0,9873.0,9593.0,9397.0,9646.0,47988470960.0,9747.0,AP1810
2018-07-04,10317.0,9678.0,9747.0,187284.0,489648.0,9177.0,9813.0,9624.0,9543.0,9771.0,46271736000.0,9713.0,AP1810
2018-07-05,10280.0,9593.0,9713.0,176744.0,461910.0,9146.0,9662.0,9449.0,9415.0,9633.0,42957630000.0,9563.0,AP1810
2018-07-06,10121.0,9636.0,9563.0,169232.0,399274.0,9005.0,9753.0,9493.0,9330.0,9663.0,37316148040.0,9609.0,AP1810
2018-07-09,10170.0,9750.0,9609.0,179238.0,356194.0,9048.0,9788.0,9575.0,9373.0,9702.0,33524979280.0,9675.0,AP1810
2018-07-10,10240.0,9728.0,9675.0,179148.0,270696.0,9110.0,9813.0,9686.0,9487.0,9750.0,25651152960.0,9739.0,AP1810
